time,.data
2018/04/01/18:14:35.433632,573
2018/04/01/18:14:35.433859,573
2018/04/01/18:14:35.456102,564
2018/04/01/18:14:35.456198,564
2018/04/01/18:14:35.474464,575
2018/04/01/18:14:35.474572,575
2018/04/01/18:14:35.492076,572
2018/04/01/18:14:35.492082,572
2018/04/01/18:14:35.516182,574
2018/04/01/18:14:35.516579,574
2018/04/01/18:14:35.542772,568
2018/04/01/18:14:35.543164,568
2018/04/01/18:14:35.559357,564
2018/04/01/18:14:35.559644,564
2018/04/01/18:14:35.582397,574
2018/04/01/18:14:35.582555,574
2018/04/01/18:14:35.602863,576
2018/04/01/18:14:35.603238,576
2018/04/01/18:14:35.626801,567
2018/04/01/18:14:35.627223,567
2018/04/01/18:14:35.645462,574
2018/04/01/18:14:35.645793,574
2018/04/01/18:14:35.662698,567
2018/04/01/18:14:35.664407,567
2018/04/01/18:14:35.688796,580
2018/04/01/18:14:35.688979,580
2018/04/01/18:14:35.708430,572
2018/04/01/18:14:35.708439,572
2018/04/01/18:14:35.730914,576
2018/04/01/18:14:35.730924,576
2018/04/01/18:14:35.751831,570
2018/04/01/18:14:35.751950,570
2018/04/01/18:14:35.770542,575
2018/04/01/18:14:35.770805,575
2018/04/01/18:14:35.796642,580
2018/04/01/18:14:35.796656,580
2018/04/01/18:14:35.822849,568
2018/04/01/18:14:35.822938,568
2018/04/01/18:14:35.842160,569
2018/04/01/18:14:35.842191,569
2018/04/01/18:14:35.861332,573
2018/04/01/18:14:35.861652,573
2018/04/01/18:14:35.878284,546
2018/04/01/18:14:35.878287,546
2018/04/01/18:14:35.902759,567
2018/04/01/18:14:35.902763,567
2018/04/01/18:14:35.920057,570
2018/04/01/18:14:35.922756,570
2018/04/01/18:14:35.941457,554
2018/04/01/18:14:35.941569,554
2018/04/01/18:14:35.963938,564
2018/04/01/18:14:35.963977,564
2018/04/01/18:14:35.989651,567
2018/04/01/18:14:35.990383,567
2018/04/01/18:14:36.008209,548
2018/04/01/18:14:36.008212,548
2018/04/01/18:14:36.030119,542
2018/04/01/18:14:36.030237,542
2018/04/01/18:14:36.054195,550
2018/04/01/18:14:36.054250,550
2018/04/01/18:14:36.073104,545
2018/04/01/18:14:36.075656,545
2018/04/01/18:14:36.091040,541
2018/04/01/18:14:36.092580,541
2018/04/01/18:14:36.112467,553
2018/04/01/18:14:36.112473,553
2018/04/01/18:14:36.133885,556
2018/04/01/18:14:36.134057,556
2018/04/01/18:14:36.153696,551
2018/04/01/18:14:36.153700,551
2018/04/01/18:14:36.176185,551
2018/04/01/18:14:36.176456,551
2018/04/01/18:14:36.203005,559
2018/04/01/18:14:36.203011,559
2018/04/01/18:14:36.223495,552
2018/04/01/18:14:36.223507,552
2018/04/01/18:14:36.245600,549
2018/04/01/18:14:36.245612,549
2018/04/01/18:14:36.262294,530
2018/04/01/18:14:36.262547,530
2018/04/01/18:14:36.285318,558
2018/04/01/18:14:36.285438,558
2018/04/01/18:14:36.305511,533
2018/04/01/18:14:36.305619,533
2018/04/01/18:14:36.330107,558
2018/04/01/18:14:36.330124,558
2018/04/01/18:14:36.354849,539
2018/04/01/18:14:36.355123,539
2018/04/01/18:14:36.372425,541
2018/04/01/18:14:36.372849,541
2018/04/01/18:14:36.393064,544
2018/04/01/18:14:36.393074,544
2018/04/01/18:14:36.415964,537
2018/04/01/18:14:36.415979,537
2018/04/01/18:14:36.436627,538
2018/04/01/18:14:36.436634,538
2018/04/01/18:14:36.454769,536
2018/04/01/18:14:36.454776,536
2018/04/01/18:14:36.476467,541
2018/04/01/18:14:36.476492,541
2018/04/01/18:14:36.501754,537
2018/04/01/18:14:36.502201,537
2018/04/01/18:14:36.521913,531
2018/04/01/18:14:36.521986,531
2018/04/01/18:14:36.543662,525
2018/04/01/18:14:36.543691,525
2018/04/01/18:14:36.566898,500
2018/04/01/18:14:36.566942,500
2018/04/01/18:14:36.586146,500
2018/04/01/18:14:36.586159,500
2018/04/01/18:14:36.608625,514
2018/04/01/18:14:36.610271,514
2018/04/01/18:14:36.624216,512
2018/04/01/18:14:36.624223,512
2018/04/01/18:14:36.650634,518
2018/04/01/18:14:36.650770,518
2018/04/01/18:14:36.670792,520
2018/04/01/18:14:36.676604,520
2018/04/01/18:14:36.692348,524
2018/04/01/18:14:36.692384,524
2018/04/01/18:14:36.715575,502
2018/04/01/18:14:36.718673,502
2018/04/01/18:14:36.736830,508
2018/04/01/18:14:36.736834,508
2018/04/01/18:14:36.757671,520
2018/04/01/18:14:36.757714,520
2018/04/01/18:14:36.778521,507
2018/04/01/18:14:36.778544,507
2018/04/01/18:14:36.795389,518
2018/04/01/18:14:36.795468,518
2018/04/01/18:14:36.821280,522
2018/04/01/18:14:36.821472,522
2018/04/01/18:14:36.838853,520
2018/04/01/18:14:36.838869,520
2018/04/01/18:14:36.868980,525
2018/04/01/18:14:36.869099,525
2018/04/01/18:14:36.889811,503
2018/04/01/18:14:36.889822,503
